ID da Avaliação,Avaliação,Comentário,Avaliador,Data,Fonte
gbp_889a7b8ca9abcd4fce89b2be727db4429be3f5fe,5,"Atendimento com o Sr. Robson foi excelente. Rapido e seguro.",Samille Gebien,Invalid Date,google
gbp_4ee3ab01d2cacfd94ec1814c0f7aae73adb8fb01,5,"Muito bom!",Marcelo Freitas,Invalid Date,google
gbp_ece06e7affbfa79b6f8f2a9b165ac7cf81d3d727,5,"Muito obrigada pela paciência e atendimento comigo que estou fora do pais! Atendimento excelente!!",Jessica Girkus,Invalid Date,google
gbp_27c47210343c807605047adf520b006a5eb67a5b,5,"A experiência foi ótima, um excelente trabalho prestado do kaio Gomes",Jarbas Jesus da Silva,Invalid Date,google
gbp_91360ab14f25903544c8940e529b84b1e0e01a0e,1,"Péssima experiência Atendimento demorado Pra quem não faz nada da vida pode ficar esperando um atendimento dia todo, não é meu caso. Foi horrível",Jaqueline Tsalikis,Invalid Date,google
gbp_120d2e473c8aaf876ed3bec70187670d039c6a2b,5,"Fui muito bem atendida! Tenho certeza que se precisar terei o suporte necessário",Valeria Pereira,Invalid Date,google
gbp_68bae5f16a2adc21dca590eb6a661df1a7421568,2,"As informações prestadas por uma funcionária que responde mensagens do whatsaap são rasas, limitadas e deixam a desejar por ser incompletas. Poderia sim ter mais capacidade no apoio ao cliente. Pena",R Lara,Invalid Date,google
gbp_5ec269305a559f205c2911c159ca4caa3013fce5,5,"Atenciosos e eficientes.",Amanda Ferrarezi,Invalid Date,google
gbp_cccc60e225675cfe3f2e7f54adad0fffd32b7954,5,"Fui muito bem atendida por telefone pela Ana e presencialmente pela Carla. Obrigada!",Alice F.,Invalid Date,google
gbp_a9aaad3641180042c65a758b269a18665d765113,5,"Karen Figueiredo tem um atendimento ótimo, gostei muito, foi fácil e compreensível, gratidão!",Ivan Gomez Portugal,Invalid Date,google
gbp_076157c0b8bff8a5c4cac9633d40fe17f3525514,5,"Excelente atendimento",Pedro Pereira,Invalid Date,google
gbp_79e97355df0c3b36ec29adc29a9e8fb38566d261,5,"Atendimento muito bom de Karen Figueiredo. Educada, simpática e rápida.",Juliano Castilho,Invalid Date,google
gbp_e392eafdc8f22aa787a2d6f174482d32f9f2333c,5,"Foi tudo tranquilo e fui muito bem atendido pela Karen Figueiredo. Todas informações diretas e claras. Gostei muito.",Mauro Lima,Invalid Date,google
gbp_aa02697d2e6bb1c776f67ca6050771af7f91f0e8,5,"Tudo muito fácil e bem objetivo. Atendimento ótimo e atencioso.",Keithy Miguel,Invalid Date,google
gbp_89a1729e3a5db6c0a793b506bbd2beff66a5739c,5,"Muito interessante, foi muito rápido e fácil de fazer, fui muito bem atendida pela equipe. Parabéns pelo atendimento e eficiência 👏🏼👏🏼",EULALIA MACEDO,Invalid Date,google
gbp_f6c27a7e3d6d35fc33d1b8638fe5f42dca3690a1,5,"Experiência excelente, atendimento rápido e atendente Fabiana perfeita. Muito boa experiência.",Bruna Alcântara,Invalid Date,google
gbp_9cc0d9fa298a6cd753f5779f4da47348ae30ccfd,5,"Realizei recentemente minha assinatura digital pelo e-Notariado no 2º Cartório de Notas de São Paulo, localizado na Avenida Paulista, e tive uma experiência excepcional. Fui atendida pelo Caio, que foi extremamente atencioso, explicou tudo com clareza e conduziu o processo com muita eficiência. Em seguida, utilizei novamente os serviços do cartório para registrar minha declaração como doadora de órgãos, também via e-Notariado. Dessa vez, fui atendida pelas profissionais Vanessa e Daniele — e confesso que fiquei positivamente surpreendida. Elas foram extremamente cuidadosas, gentis e profissionais durante todo o atendimento. Jamais imaginei que um cartório pudesse oferecer um serviço com tamanha excelência, empatia e atenção ao público. Recomendo de olhos fechados! Um verdadeiro exemplo de atendimento humanizado e de qualidade. Parabéns a toda a equipe!",Angélica Sugarava Brandi,Invalid Date,google
gbp_7f97ce74674d38cc63a4f2bef597b53b3ef3e290,5,"A experiência com eles é sempre excelente, são rápidos, transparentes e educados",Eliane Dias dos Santos,Invalid Date,google
gbp_e852f16178fc5e46bd47aa02a126c39992ceda8b,5,"Minha experiência , foi ótima. Fui atendida pela Karen Figueiredo, que foi muito boa e bem clara no que queria. Finalizando assim meu atendimento com bom resultado",Abigail Nascimento,Invalid Date,google
gbp_081a1b8344611395de0d993dac906a5f07f72ca7,5,"Minha experiência foi muito boa, mesmo de lugares distantes fui muito bem atendida. Quero parabenizar o Kaio Gomes, pela atenção e agradecer pela paciência, pois nunca tinha precisado utilizar esse tipo de serviço antes, e ele teve toda compreensão e me ajudou em todos os passos até o momento. Gratidão Kaio Gomes.",Simone Moraes,Invalid Date,google
gbp_6d003570d62e5cad5916769b878b356dffba3d27,5,"Atendimento rápido e eficiente, fui atendida pela Fabiana Medeiros e ela foi muito atenciosa!",NATHALIA BRITO,Invalid Date,google
gbp_7dfcb7e02140fc488e24042e85ba5efb05bbdbd9,5,"Agradeço especialmente a atendente Ana Paula, que com muita boa vontade e compreensão entendeu minha situação e ao Lourenço que, de pronto, regularizou toda situação e reemitiu minha certificação. Deus abençoe e ilumine a todos vocês.",Aldoney de Oliveira Berenguer,Invalid Date,google
gbp_5c342ebef787af5edbfa6cc45d332dcfd567cc23,5,"O processo para gerar o certificado digital foi rápido e descomplicado. Agradeço o ótimo atendimento feito pela Karen Figueiredo",Ana Paula Eugenia,Invalid Date,google
gbp_15a02097b393122bfb97d4e2ee2b89dec5a72a1e,1,"Péssima! Só passamos raiva. Pessoal até que tenta ser simpático, mas o sistema é uma m..., demorado, complicado e pra nada! Muito mais simples ir ao cartório e assinar, on LINE é pra facilitar não prejudicar...",Angela Lila,Invalid Date,google
gbp_57803d8737280e4525116dbc9760a958c2ee8db8,5,"Fui atendido pela e-notariada CARLA NERIS, a qual, foi extremamente SOLICITA, PROFISSIONAL PREPARADA e DISPOSTA a dar andamento à minha demanda. Além dela, o atendente KAIO, de igual sorte, prestou um atendimento de excelência, solicitando a mim toda a documentação necessária ao meu cadastro na plataforma e-notarial. Meu muito obrigado à todos os profissionais envolvidos.",Daniel Acioli,Invalid Date,google
gbp_714a37b015a80de43a4ffa8234fbeb19d4a09571,5,"Experiência excelente, ambiente organizado, e atendimento rápido. A Carla é uma excelente profissional e conduziu com muita eficiência e simpatia a emissão do certificado para minha mãe.",Keyla Ribeiro,Invalid Date,google
gbp_e8e1f1d137f9a9f06b4ca5376df193c3fb136bc0,5,"Precisei no enotoriado assinatura digital e Karen Figueiredo foi muito solícita no seu atendimento, perfeita parabéns",Vicente Neto,Invalid Date,google
gbp_9a308056d5fbe3f1d19ff9d9aeb8350093b2e63e,5,"Muito bom, atendimento rápido, online. A escrevente Karen Figueiredo é muito simpática e competente!",Clarissa Soares Mariano,Invalid Date,google
gbp_da1efe8491330ff4f6088f82615a367dcb6a09d3,5,"Tive um atendimento perfeito e bem eficiente da Karen Figueiredo. Muito obrigada!",Vanessa Teixeira,Invalid Date,google
gbp_61b798ccffc3556acae8ca9f641e431faf36e04f,5,"Muito bom o atendimento virtual! Atendente Fabiana super simpática!",Grace Richter,Invalid Date,google
gbp_dde99c40066a0fa555c2b63d6dd450f49cd3b793,5,"Realizei a emissão do certificado com 2° Cartório Paulista e foi muito rápido e fácil o processo, além disso fui muito bem atendida pelo Robson Lopes. Estou bem satisfeita.",Karla Feitosa Da Silva,Invalid Date,google
gbp_290b71905b41a57fd4a20db493637a869ffbecef,5,"Ana Sophia é uma profissional muito competente e gentil. Me ajudou em todas as etapas de minha demanda. Obrigado!",Antônio Felipe Wouk,Invalid Date,google
gbp_d8559f03eebcf07c7d5d1fd14f0edb26b0410418,5,"O atendimento foi ótimo desde o whatsapp, e-mail, todas as dúvidas foram sanadas de forma rápida, no atendimento presencial a Rafaela F. Foi simpática e prestativa. Em geral foi uma boa experiência.",Angela Vieira,Invalid Date,google
gbp_061bb679c78bfaeee3ac736448c376d8370ea673,5,"O processo digital facilita a vida do cidadão, muito prático de resolver os assuntos sem a necessidade da presença física. Além do ótimo atendimento do 2º Tabelião de Notas de SP, com o João Silva que tornou o processo mais fácil e rápido.",João Caseiro,Invalid Date,google
gbp_ec78ea58e2ca645f1e40e5bfbb31fdeb1911e3fe,5,"Fui atendida pela Fabiana Medeiros, rápida, prestativa e esclarecedora em tudo que precisei! Excelente atendimento.",Iris Lima,Invalid Date,google
gbp_11838bc3c80c9a319a1e1824909beab926bb6934,5,"Atendimento ótimo, atendente Letícia educada e cordial me passou as orientações com clareza.",Priscila Graziele dos Magalhaes,Invalid Date,google
gbp_170191eb7f4f377f50c52a89622854691ef0f2c6,5,"A praticidade da vídeo chamada e o atendimento da Fabiana Medeiros, facilitaram bastante a conclusão do processo, deixo registrado meu agradecimento.",Valdir,Invalid Date,google
gbp_95dc5534384b80165d444751baa08d60760ac0ec,5,"Fui atendida por Robson Lopes. Atendimento excelente: educação, paciência, segurança... Muito obrigada.",tereza barreiras,Invalid Date,google
gbp_dbf4d47b6a53a8c657604d439c8f3ddd624b6f56,5,"Serviço extremamente rápido e eficiente! Gostaria de destacar o atendimento da Sra Fabiana Lucio que me auxiliou com muita clareza e paciência! Atendimento nota 10!",ROBSON VIEIRA DA SILVA,Invalid Date,google
gbp_12ca3e67944ce14e04b402473e2c6a11ad5f9a33,3,"A atendente foi educada e profissional e ágil na videoconferência. O problema foi chegar ao momento da videoconferência. Vc fica numa fila do WhatsApp sem a menor ideia de quando será atendido(a). É frustrante, cansativo e faz a gente perder a paciência porque eu só fui atendida no outro dia. Considerem uma melhoria neste processo, por favor",Olivia Passos,Invalid Date,google
gbp_2a6da959db48c3522cfe333f286a1afe49e76928,5,"A atendente Letícia Andreza foi muito atenciosa, educada e paciente! As instruções foram dadas direitinho.",Camila Parise Chiarioni,Invalid Date,google
gbp_f17a21d8f72c897985743d0b28618f3650407dde,3,"E uma ferramenta incrível pela facilidade de fazer em qualquer lugar, porém o retorno demorou muito fiquei praticamente o dia todo esperando um retorno, tive que cobrar 4 vezes pra finalizar o atendimento, espero que esse tempo possa ser reduzido na próxima vez que eu precisar do serviço",Maria zelia,Invalid Date,google
gbp_3132c1acebfc33e237c03005a329eed061c95705,3,"A fila de atendimento on-line é muito confusa. Você não sabe nem em qual posição está. A ideia é ser um serviço digital e facilitador, mas acaba não sendo porque você precisa ficar à espera de um contato sem qualquer previsibilidade de quando será. Liguei no cartório para saber a estimativa de tempo para me retornarem e ouvi “se for urgente recomendamos que venha até o cartório”. O atendimento na vídeo conferência foi excelente! O Kaio foi extremamente atencioso e eficiente.",Karol Paes Sato,Invalid Date,google
gbp_e9c398cf027efc3e19454fa6035c19df3eb299c0,5,"Muito eficiente",Elias Jose Oliveira,Invalid Date,google
gbp_1cf619b0272efdd539d8804394cb0c147d94044b,5,"Excelente",thais vaz,Invalid Date,google
gbp_d7e7aac6d8e8d3f611edd5a8ecc4080f6bd997b0,5,"Atendimento rápido e atencioso pela Carla, foi extremamente educada e muito didática. O estabelecimento pela manhã estava bem vazio, só uma pessoa a minha frente. Fiz tudo que precisava em 10min. Parabéns pelo atendimento Carla e obrigada pela ajuda 😊",Sayuri Nakawatase,Invalid Date,google
gbp_82d824a018a3e818e9438e59e3f3814eb3ccecea,4,"Muito bom atendimento! Kaio gomes foi direto e atencioso!",Heloisa Souza,Invalid Date,google
